largeFirm,_TYPE_,_FREQ_,ret_Mean,beta_Mean,btm_Mean,size_Mean,roa_Mean,loss_Mean,beta_lag_Mean,btm_lag_Mean,size_lag_Mean,ret_Median,beta_Median,btm_Median,size_Median,roa_Median,loss_Median,beta_lag_Median,btm_lag_Median,size_lag_Median,ret_StdDev,beta_StdDev,btm_StdDev,size_StdDev,roa_StdDev,loss_StdDev,beta_lag_StdDev,btm_lag_StdDev,size_lag_StdDev,ret_N,beta_N,btm_N,size_N,roa_N,loss_N,beta_lag_N,btm_lag_N,size_lag_N
0,0,4186,0.2113907737,1.2452883054,0.8396972805,4.9060771436,-0.070955588,0.4175824176,1.2181200428,0.9831334052,4.7757039227,0.1356529613,1.1399036868,0.7087587498,5.0926601278,0.006946614,0,1.119954524,0.792362171,4.9168775217,0.5625872834,0.8829583973,0.7653718422,1.3326375164,0.2529346422,0.4932194807,0.8399878463,0.8817592345,1.3272867397,4186,4186,4186,4186,4186,4186,4186,4186,4186
1,0,4173,0.3087070031,1.2238283926,0.5032898544,8.3098805556,0.0368585764,0.1476156243,1.2146990409,0.5748047765,8.0809472171,0.2413886257,1.1647852392,0.4256738324,8.1053780142,0.0404781141,0,1.1595024112,0.4746512712,7.9063671646,0.4237325606,0.6539414164,0.389628535,1.3456333805,0.1189374174,0.3547610621,0.6298713947,0.4718524685,1.4121331081,4173,4173,4173,4173,4173,4173,4173,4173,4173
