Effect,OddsRatioEst,LowerCL,UpperCL
ret,0.519,0.493,0.546
beta,1.673,1.626,1.722
size,0.618,0.609,0.627
btm,1.016,0.981,1.052
d2005,0.422,0.376,0.473
d2006,0.426,0.379,0.478
d2007,0.576,0.514,0.645
d2008,0.703,0.626,0.788
d2009,1.509,1.355,1.681
d2010,0.756,0.676,0.845
d2011,0.522,0.465,0.587
d2012,0.681,0.608,0.764
ff12_1,0.631,0.547,0.729
ff12_2,0.847,0.711,1.008
ff12_3,0.572,0.513,0.637
ff12_4,1.212,1.061,1.385
ff12_5,0.596,0.488,0.728
ff12_6,1.044,0.958,1.136
ff12_7,1.506,1.293,1.753
ff12_8,0.436,0.341,0.559
ff12_9,0.544,0.485,0.610
ff12_10,2.646,2.402,2.913
ff12_11,0.452,0.414,0.494
