Label1,cValue1,nValue1,Label2,cValue2,nValue2
Percent Concordant,81.6,81.561884,Somers' D,0.633,0.633100
Percent Discordant,18.3,18.251874,Gamma,0.634,0.634281
Percent Tied,0.2,0.186241,Tau-a,0.266,0.265999
Pairs,341276493,341276493,c,0.817,0.816550
